ds,y
2023-11-16,5977.46
2023-11-17,5750.84
2023-11-18,6869.83
2023-11-19,6372.11
2023-11-20,6094.22
2023-11-21,6287.01
2023-11-22,6898.34
2023-11-23,7237.41
2023-11-24,7128.24
2023-11-25,8260.13
2023-11-26,10053.39
2023-11-27,7292.28
2023-11-28,6919.24
2023-11-29,7038.17
2023-11-30,6647.35
2023-12-01,5143.14
2023-12-02,7063.99
2023-12-03,8115.21
2023-12-04,5048.47
2023-12-05,5330.62
2023-12-06,5303.5
2023-12-07,5393.17
2023-12-08,7049.64
2023-12-09,8946.55
2023-12-10,8515.0
2023-12-11,5906.28
2023-12-12,6815.01
2023-12-13,6892.51
2023-12-14,6370.97
2023-12-15,7036.73
2023-12-16,9194.71
2023-12-17,9968.89
2023-12-18,7831.76
2023-12-19,6600.14
2023-12-20,7466.82
2023-12-21,8172.08
2023-12-22,7998.39
2023-12-23,11666.3
2023-12-24,11199.22
2023-12-25,7041.52
2023-12-26,6484.85
2023-12-27,7355.2
2023-12-28,5717.06
2023-12-29,6434.62
2023-12-30,8657.34
2023-12-31,7300.97
2024-01-01,4512.53
2024-01-02,4871.1
2024-01-03,4613.0
2024-01-04,4736.62
2024-01-05,5292.84
2024-01-06,5869.84
2024-01-07,6920.09
2024-01-08,5246.12
2024-01-09,4251.52
2024-01-10,4075.09
2024-01-11,4120.22
2024-01-12,4005.28
2024-01-13,5347.37
2024-01-14,6423.94
2024-01-15,4082.72
2024-01-16,4432.12
2024-01-17,5172.82
2024-01-18,4018.36
2024-01-19,5132.61
2024-01-20,5699.57
2024-01-21,5401.42
2024-01-22,4970.65
2024-01-23,4876.4
2024-01-24,5227.74
2024-01-25,5028.37
2024-01-26,5126.04
2024-01-27,5709.8
2024-01-28,5519.47
2024-01-29,5055.28
2024-01-30,5135.85
2024-01-31,5396.33
2024-02-01,5390.5
2024-02-02,5324.4
2024-02-03,7796.9
2024-02-04,6857.7
2024-02-05,6257.16
2024-02-06,6138.41
2024-02-07,5425.74
2024-02-08,5962.54
2024-02-09,5970.13
2024-02-10,6353.61
2024-02-11,8085.33
2024-02-12,5559.43
2024-02-13,6095.81
2024-02-14,5253.62
2024-02-15,6213.91
2024-02-16,5371.48
2024-02-17,6164.57
2024-02-18,8105.43
2024-02-19,4878.51
2024-02-20,5260.17
2024-02-21,6314.12
2024-02-22,6316.59
2024-02-23,5688.37
2024-02-24,7523.5
2024-02-25,7127.08
2024-02-26,5224.33
2024-02-27,5284.87
2024-02-28,5861.02
2024-02-29,5995.99
2024-03-01,6063.04
2024-03-02,7879.62
2024-03-03,6362.2
2024-03-04,5570.11
2024-03-05,4840.07
2024-03-06,5665.14
2024-03-07,5485.62
2024-03-08,6234.52
2024-03-09,6937.39
2024-03-10,6429.49
2024-03-11,4990.44
2024-03-12,6029.0
2024-03-13,5790.1
2024-03-14,4923.86
2024-03-15,4896.5
2024-03-16,7713.25
2024-03-17,6343.81
2024-03-18,6139.22
2024-03-19,5946.49
2024-03-20,4897.86
2024-03-21,4904.93
2024-03-22,6422.26
2024-03-23,7012.26
2024-03-24,7006.04
2024-03-25,6134.49
2024-03-26,6362.25
2024-03-27,6429.04
2024-03-28,6038.94
2024-03-29,5405.31
2024-03-30,6387.51
2024-03-31,7908.44
2024-04-01,5716.24
2024-04-02,5491.44
2024-04-03,6305.73
2024-04-04,4966.17
2024-04-05,5610.85
2024-04-06,6240.15
2024-04-07,7245.07
2024-04-08,4878.34
2024-04-09,4985.09
2024-04-10,4984.12
2024-04-11,5883.59
2024-04-12,6048.66
2024-04-13,7507.71
2024-04-14,8342.11
2024-04-15,5425.38
2024-04-16,5275.89
2024-04-17,6263.37
2024-04-18,5173.33
2024-04-19,6426.58
2024-04-20,6263.19
2024-04-21,8373.27
2024-04-22,4872.7
2024-04-23,6310.69
2024-04-24,5696.26
2024-04-25,6486.36
2024-04-26,4929.38
2024-04-27,7468.19
2024-04-28,8386.22
2024-04-29,5695.36
2024-04-30,5877.16
2024-05-01,5991.22
2024-05-02,5583.08
2024-05-03,5878.3
2024-05-04,7548.13
2024-05-05,8249.9
2024-05-06,4893.14
2024-05-07,5294.73
2024-05-08,6434.44
2024-05-09,6333.69
2024-05-10,5595.79
2024-05-11,7640.15
2024-05-12,6883.54
2024-05-13,5144.34
2024-05-14,5614.89
2024-05-15,5428.28
2024-05-16,5821.99
2024-05-17,4961.18
2024-05-18,8438.13
2024-05-19,8466.36
2024-05-20,6022.89
2024-05-21,5747.88
2024-05-22,5362.67
2024-05-23,6224.6
2024-05-24,6005.77
2024-05-25,6650.39
2024-05-26,8313.49
2024-05-27,6245.53
2024-05-28,6464.49
2024-05-29,6083.06
2024-05-30,5892.52
2024-05-31,5560.2
2024-06-01,7536.57
2024-06-02,7404.94
2024-06-03,4433.29
2024-06-04,4405.31
2024-06-05,4945.81
2024-06-06,5616.03
2024-06-07,5889.81
2024-06-08,5981.07
2024-06-09,6872.16
2024-06-10,4958.58
2024-06-11,5868.67
2024-06-12,5672.83
2024-06-13,5668.34
2024-06-14,5098.92
2024-06-15,6522.01
2024-06-16,6239.56
2024-06-17,4465.43
2024-06-18,5715.93
2024-06-19,5637.18
2024-06-20,5927.42
2024-06-21,5924.07
2024-06-22,6815.75
2024-06-23,7247.0
2024-06-24,5848.03
2024-06-25,5702.16
2024-06-26,4770.79
2024-06-27,5086.68
2024-06-28,4589.96
2024-06-29,7630.23
2024-06-30,6931.04
2024-07-01,4747.49
2024-07-02,5435.73
2024-07-03,5353.93
2024-07-04,4951.85
2024-07-05,4573.41
2024-07-06,7072.93
2024-07-07,6769.29
2024-07-08,5599.77
2024-07-09,5209.4
2024-07-10,5726.53
2024-07-11,5261.22
2024-07-12,5276.51
2024-07-13,7499.28
2024-07-14,6544.38
2024-07-15,4616.14
2024-07-16,4453.49
2024-07-17,5585.04
2024-07-18,5376.47
2024-07-19,5508.19
2024-07-20,6167.96
2024-07-21,6014.31
2024-07-22,4437.66
2024-07-23,4962.47
2024-07-24,5336.75
2024-07-25,5029.78
2024-07-26,5101.52
2024-07-27,7580.03
2024-07-28,6454.13
2024-07-29,5224.57
2024-07-30,5646.81
2024-07-31,5043.65
2024-08-01,5996.81
2024-08-02,6415.33
2024-08-03,8538.63
2024-08-04,6728.94
2024-08-05,6531.45
2024-08-06,5778.08
2024-08-07,5372.99
2024-08-08,5723.48
2024-08-09,6630.56
2024-08-10,7519.75
2024-08-11,7150.95
2024-08-12,6032.12
2024-08-13,5349.12
2024-08-14,5064.39
2024-08-15,5157.9
2024-08-16,5157.67
2024-08-17,6760.58
2024-08-18,6732.55
2024-08-19,6055.12
2024-08-20,5256.38
2024-08-21,5543.22
2024-08-22,6505.74
2024-08-23,5769.64
2024-08-24,7941.46
2024-08-25,6819.66
2024-08-26,5281.99
2024-08-27,5018.83
2024-08-28,5243.69
2024-08-29,5436.49
2024-08-30,5260.27
2024-08-31,6639.31
2024-09-01,6713.44
2024-09-02,5760.18
2024-09-03,5316.5
2024-09-04,5594.05
2024-09-05,5838.86
2024-09-06,6167.49
2024-09-07,6537.83
2024-09-08,8269.67
2024-09-09,6062.37
2024-09-10,5107.0
2024-09-11,6495.73
2024-09-12,6580.15
2024-09-13,5074.34
2024-09-14,7090.13
2024-09-15,8298.74
2024-09-16,6283.49
2024-09-17,5295.71
2024-09-18,5340.53
2024-09-19,5624.65
2024-09-20,5826.25
2024-09-21,7881.25
2024-09-22,7313.63
2024-09-23,5791.7
2024-09-24,6293.88
2024-09-25,5045.72
2024-09-26,5426.31
2024-09-27,6238.28
2024-09-28,8527.58
2024-09-29,7652.19
2024-09-30,5923.65
2024-10-01,5176.9
2024-10-02,5777.26
2024-10-03,5928.68
2024-10-04,5418.89
2024-10-05,7107.54
2024-10-06,7356.76
2024-10-07,5030.59
2024-10-08,5564.33
2024-10-09,5370.49
2024-10-10,5576.48
2024-10-11,5211.2
2024-10-12,8544.73
2024-10-13,7865.22
2024-10-14,6202.58
2024-10-15,6398.43
2024-10-16,5886.29
2024-10-17,5160.45
2024-10-18,5957.37
2024-10-19,7860.69
2024-10-20,8227.11
2024-10-21,5775.01
2024-10-22,5238.38
2024-10-23,5516.0
2024-10-24,5657.66
2024-10-25,6159.7
2024-10-26,7836.5
2024-10-27,7343.99
2024-10-28,6767.41
2024-10-29,6094.29
2024-10-30,5442.46
2024-10-31,5203.6
2024-11-01,5295.38
2024-11-02,7100.25
2024-11-03,6905.22
2024-11-04,5358.88
2024-11-05,5535.0
2024-11-06,5337.93
2024-11-07,6623.74
2024-11-08,5174.97
2024-11-09,7755.1
2024-11-10,7493.28
2024-11-11,6782.04
2024-11-12,5236.31
2024-11-13,5745.76
2024-11-14,6763.78
2024-11-15,6580.39
2024-11-16,8444.44
2024-11-17,7152.57
2024-11-18,5348.34
2024-11-19,6235.92
2024-11-20,8377.18
2024-11-21,7549.35
2024-11-22,7584.17
2024-11-23,9017.04
2024-11-24,10437.21
2024-11-25,6732.23
2024-11-26,7038.41
2024-11-27,7266.94
2024-11-28,7451.91
2024-11-29,6861.96
2024-11-30,8552.52
2024-12-01,8161.0
2024-12-02,5808.24
2024-12-03,6481.17
2024-12-04,5783.44
2024-12-05,6540.89
2024-12-06,6769.31
2024-12-07,7684.61
2024-12-08,8598.61
2024-12-09,6304.46
2024-12-10,6262.94
2024-12-11,8410.75
2024-12-12,7061.39
2024-12-13,8290.08
2024-12-14,9286.52
2024-12-15,10743.18
2024-12-16,8585.17
2024-12-17,8321.86
2024-12-18,8146.04
2024-12-19,8121.85
2024-12-20,8084.97
2024-12-21,12613.98
2024-12-22,12463.27
2024-12-23,10083.12
2024-12-24,7963.72
2024-12-25,9142.07
2024-12-26,9192.62
2024-12-27,6962.23
2024-12-28,8224.61
2024-12-29,9543.83
2024-12-30,6563.2
2024-12-31,6607.74
2025-01-01,4544.7
2025-01-02,5547.96
2025-01-03,4641.37
2025-01-04,5959.65
2025-01-05,5962.22
2025-01-06,5582.57
2025-01-07,5355.2
2025-01-08,5138.81
2025-01-09,4888.47
2025-01-10,5683.6
2025-01-11,6424.86
2025-01-12,7271.32
2025-01-13,5016.02
2025-01-14,4921.82
2025-01-15,5054.41
2025-01-16,4808.15
2025-01-17,5493.85
2025-01-18,6655.1
2025-01-19,6116.86
2025-01-20,5730.91
2025-01-21,4940.33
2025-01-22,5186.69
2025-01-23,5745.42
2025-01-24,5313.03
2025-01-25,5894.8
2025-01-26,7540.81
2025-01-27,5321.99
2025-01-28,4872.86
2025-01-29,4573.01
2025-01-30,5581.54
2025-01-31,5315.08
2025-02-01,7926.86
2025-02-02,8777.46
2025-02-03,6562.64
2025-02-04,5409.82
2025-02-05,5701.17
2025-02-06,5587.81
2025-02-07,6487.62
2025-02-08,6760.54
2025-02-09,8027.18
2025-02-10,6525.62
2025-02-11,6734.59
2025-02-12,5765.34
2025-02-13,6636.84
2025-02-14,5347.53
2025-02-15,8691.3
2025-02-16,6994.76
2025-02-17,5872.21
2025-02-18,6600.78
2025-02-19,5425.02
2025-02-20,5570.55
2025-02-21,6468.73
2025-02-22,8406.01
2025-02-23,8221.24
2025-02-24,6421.59
2025-02-25,6147.66
2025-02-26,5619.17
2025-02-27,5791.49
2025-02-28,5493.78
2025-03-01,8865.72
2025-03-02,8097.36
2025-03-03,5897.29
2025-03-04,6010.16
2025-03-05,6896.78
2025-03-06,5449.68
2025-03-07,6240.94
2025-03-08,7924.39
2025-03-09,8176.75
2025-03-10,5207.6
2025-03-11,6768.8
2025-03-12,6879.94
2025-03-13,6210.81
2025-03-14,6452.62
2025-03-15,8927.1
2025-03-16,8417.35
2025-03-17,5461.69
2025-03-18,6238.21
2025-03-19,6295.29
2025-03-20,5962.5
2025-03-21,6535.63
2025-03-22,8969.4
2025-03-23,8950.46
2025-03-24,6016.78
2025-03-25,5399.49
2025-03-26,6998.24
2025-03-27,6732.26
2025-03-28,5424.07
2025-03-29,8951.24
2025-03-30,8831.75
2025-03-31,6151.0
2025-04-01,6285.33
2025-04-02,5933.77
2025-04-03,5303.02
2025-04-04,5819.25
2025-04-05,8683.51
2025-04-06,6778.81
2025-04-07,5820.03
2025-04-08,5940.21
2025-04-09,6197.52
2025-04-10,6902.27
2025-04-11,5848.87
2025-04-12,7606.68
2025-04-13,8542.71
2025-04-14,6047.66
2025-04-15,5629.96
2025-04-16,6050.77
2025-04-17,5478.21
2025-04-18,5544.89
2025-04-19,7981.3
2025-04-20,7792.72
2025-04-21,6910.0
2025-04-22,5892.83
2025-04-23,6296.58
2025-04-24,6393.32
2025-04-25,5252.24
2025-04-26,8390.05
2025-04-27,7226.79
2025-04-28,7006.13
2025-04-29,5507.3
2025-04-30,5999.82
2025-05-01,5392.77
2025-05-02,7078.54
2025-05-03,8015.41
2025-05-04,8241.18
2025-05-05,5363.77
2025-05-06,6628.11
2025-05-07,5630.41
2025-05-08,6905.11
2025-05-09,5624.09
2025-05-10,7278.16
2025-05-11,6908.71
2025-05-12,6122.24
2025-05-13,6295.47
2025-05-14,5371.96
2025-05-15,6688.75
2025-05-16,6092.86
2025-05-17,8093.86
2025-05-18,7894.03
2025-05-19,5999.47
2025-05-20,6295.59
2025-05-21,5546.47
2025-05-22,5597.23
2025-05-23,6860.77
2025-05-24,9124.57
2025-05-25,7743.38
2025-05-26,5767.21
2025-05-27,6462.12
2025-05-28,6026.25
2025-05-29,5314.87
2025-05-30,5559.22
2025-05-31,8582.22
2025-06-01,7601.53
2025-06-02,4790.47
2025-06-03,5117.97
2025-06-04,5134.35
2025-06-05,5874.23
2025-06-06,4782.33
2025-06-07,6402.35
2025-06-08,7920.65
2025-06-09,5051.91
2025-06-10,5848.59
2025-06-11,5154.21
2025-06-12,4922.48
2025-06-13,5164.86
2025-06-14,7761.63
2025-06-15,8054.67
2025-06-16,6154.47
2025-06-17,5428.2
2025-06-18,5884.69
2025-06-19,5107.5
2025-06-20,5256.86
2025-06-21,8154.17
2025-06-22,6224.3
2025-06-23,4910.97
2025-06-24,5118.0
2025-06-25,4813.86
2025-06-26,5075.71
2025-06-27,5753.13
2025-06-28,7126.82
2025-06-29,8160.49
2025-06-30,6151.91
2025-07-01,5351.61
2025-07-02,5213.88
2025-07-03,5417.82
2025-07-04,5774.21
2025-07-05,6801.45
2025-07-06,7584.02
2025-07-07,5472.73
2025-07-08,5714.71
2025-07-09,5520.24
2025-07-10,5282.21
2025-07-11,6388.06
2025-07-12,7900.3
2025-07-13,6532.29
2025-07-14,6257.06
2025-07-15,5614.23
2025-07-16,6303.91
2025-07-17,6145.12
2025-07-18,5512.66
2025-07-19,6282.08
2025-07-20,6825.17
2025-07-21,5713.36
2025-07-22,5870.12
2025-07-23,5235.3
2025-07-24,5035.65
2025-07-25,6215.29
2025-07-26,8410.95
2025-07-27,7401.97
2025-07-28,5094.85
2025-07-29,5266.61
2025-07-30,4837.07
2025-07-31,6358.09
2025-08-01,5564.21
2025-08-02,8359.78
2025-08-03,7619.91
2025-08-04,6391.26
2025-08-05,6576.16
2025-08-06,6914.18
2025-08-07,5738.89
2025-08-08,5371.11
2025-08-09,7293.07
2025-08-10,9168.86
2025-08-11,7005.13
2025-08-12,6484.11
2025-08-13,6491.39
2025-08-14,6614.79
2025-08-15,5690.16
2025-08-16,9216.22
2025-08-17,7999.11
2025-08-18,6087.06
2025-08-19,6345.4
2025-08-20,5453.24
2025-08-21,5680.37
2025-08-22,6764.56
2025-08-23,7182.07
2025-08-24,8465.48
2025-08-25,5835.16
2025-08-26,6109.31
2025-08-27,5919.88
2025-08-28,6048.19
2025-08-29,6738.81
2025-08-30,7721.63
2025-08-31,8387.67
2025-09-01,6281.94
2025-09-02,6639.52
2025-09-03,7159.69
2025-09-04,6773.27
2025-09-05,5791.3
2025-09-06,7076.38
2025-09-07,7648.88
2025-09-08,6517.74
2025-09-09,5485.39
2025-09-10,6332.81
2025-09-11,6525.32
2025-09-12,6027.08
2025-09-13,8917.25
2025-09-14,7275.24
2025-09-15,5537.65
2025-09-16,6782.5
2025-09-17,6340.73
2025-09-18,6709.63
2025-09-19,6227.86
2025-09-20,7631.08
2025-09-21,9052.09
2025-09-22,6927.11
2025-09-23,6728.87
2025-09-24,5924.23
2025-09-25,6532.44
2025-09-26,6096.31
2025-09-27,7258.4
2025-09-28,9309.52
2025-09-29,5672.18
2025-09-30,7227.14
2025-10-01,6265.33
2025-10-02,5768.16
2025-10-03,6451.32
2025-10-04,9211.27
2025-10-05,8863.44
2025-10-06,6961.67
2025-10-07,6680.47
2025-10-08,6745.99
2025-10-09,7047.76
2025-10-10,5901.62
2025-10-11,8270.53
2025-10-12,7604.56
2025-10-13,7319.05
2025-10-14,7237.07
2025-10-15,5505.07
2025-10-16,6783.07
2025-10-17,7205.66
2025-10-18,7513.06
2025-10-19,8480.51
2025-10-20,7191.58
2025-10-21,5501.64
2025-10-22,6776.14
2025-10-23,6009.62
2025-10-24,7214.84
2025-10-25,9497.79
2025-10-26,9432.93
2025-10-27,6354.57
2025-10-28,7101.2
2025-10-29,7069.09
2025-10-30,6060.45
2025-10-31,7042.05
2025-11-01,7176.64
2025-11-02,8576.78
2025-11-03,5894.21
2025-11-04,5684.84
2025-11-05,5602.1
2025-11-06,6795.73
2025-11-07,6110.82
2025-11-08,8909.53
2025-11-09,7259.91
2025-11-10,6067.35
2025-11-11,6500.77
2025-11-12,6986.49
2025-11-13,6077.91
2025-11-14,6671.57
2025-11-15,9327.12
2025-11-16,8651.58
2025-11-17,5917.53
2025-11-18,5516.21
2025-11-19,7150.16
2025-11-20,6890.64
2025-11-21,8952.62
2025-11-22,10555.4
2025-11-23,11845.47
2025-11-24,8774.92
2025-11-25,9258.02
2025-11-26,7695.68
2025-11-27,8704.14
2025-11-28,7822.8
2025-11-29,10416.87
2025-11-30,10883.33
2025-12-01,7324.84
2025-12-02,7698.57
2025-12-03,7410.18
2025-12-04,6821.63
2025-12-05,6961.97
2025-12-06,10119.42
2025-12-07,8868.98
2025-12-08,6657.64
2025-12-09,7340.1
2025-12-10,7312.56
2025-12-11,7461.84
2025-12-12,7437.86
2025-12-13,9218.46
2025-12-14,9292.64
2025-12-15,9736.23
2025-12-16,8443.14
2025-12-17,8462.61
2025-12-18,9383.45
2025-12-19,8276.28
2025-12-20,13540.94
2025-12-21,13148.64
2025-12-22,8287.03
2025-12-23,9351.17
2025-12-24,10831.46
2025-12-25,10500.21
2025-12-26,8716.75
2025-12-27,11212.62
2025-12-28,9220.2
2025-12-29,8510.6
2025-12-30,6395.57
2025-12-31,7355.57
2026-01-01,5768.17
2026-01-02,5699.97
2026-01-03,7206.8
2026-01-04,6600.77
2026-01-05,4988.85
